SQLDATE,EventRootCode,AvgTone_root,n_events_root
20260118,19,-4.7529664814751351,4250
20260118,17,-5.1732013958704357,2248
20260118,18,-6.1545073237865413,1140
20260118,16,-3.0933137563388238,461
20260118,20,-3.8027116399172547,24
20260117,19,-4.6742115714941663,7614
20260117,17,-5.6276891372574136,5579
20260117,18,-6.1424873347413458,2042
20260117,16,-2.810941056640833,930
20260117,20,-5.0429949998652708,29
20260116,19,-4.5184350322492719,10514
20260116,17,-5.5057870271943825,8620
20260116,18,-5.977889252858879,2891
20260116,16,-2.9979797813529192,1624
20260116,20,-4.8724796786824687,127
20260115,19,-4.6080325904512849,11239
20260115,17,-5.42404977040405,9344
20260115,18,-5.8598187151126186,3154
20260115,16,-3.4275151163497655,2280
20260115,20,-5.4161131671435,58
20260114,19,-4.672925412760228,11434
20260114,17,-5.5277400388790152,9240
20260114,18,-5.9413957697577713,3462
20260114,16,-3.4015939913093454,1931
20260114,20,-4.2952459864179522,48
20260113,19,-4.9470986033022983,12046
20260113,17,-5.5272210326692441,9015
20260113,18,-6.0687040068071036,3276
20260113,16,-3.5509166592710879,1895
20260113,20,-4.4376221580192956,60
20260112,19,-4.434047861551373,11010
20260112,17,-5.257756907082328,7832
20260112,18,-5.8012623919767412,2836
20260112,16,-3.3346649444875363,1416
20260112,20,-4.2276602056109658,53
20260111,19,-4.8816655172593775,8228
20260111,17,-5.3553460486143134,4560
20260111,18,-5.5719574189417571,2194
20260111,16,-3.4042676265185561,810
20260111,20,-5.350102935265129,37
