node_id,valeur,domaine,priorite,statut_contextuel,timestamp,idd_score,idd_decision
R00,269.0,CYBER,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R97,187.0,CYBER,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R95,1.0,CYBER,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R92,100.0,CYBER,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R91,254.0,CYBER,🔴,✅ BAS,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R81,450.0,CYBER,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R96,156.0,CYBER,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R32,182.0,GEOPOLITIQUE,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R24,37.63,ENERGIE,🔴,✅ BAS,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R200,1.18,AGRI_ENV,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R11,51.3,ENERGIE,🔴,✅ STABLE,2026-01-17 23:59,100.0,🟢 ROUTINE OK
R32_20,,GEOPOLITIQUE,🔴,📊,2026-01-17 23:59,100.0,🟢 ROUTINE OK
